time	temperature	heat_index	dewpoint	wind_direction	wind_speed	wind_gust	humidity	pressure
20210124 18:55	-0.1		-1.2	135.0	2.7	4.9	92.0	994.2
20210124 19:00	-0.1		-1.2	135.0	3.6	4.9	92.0	994.2
20210124 19:05	-0.1		-1.3	135.0	2.2	4.5	92.0	994.2
20210124 19:10	-0.2		-1.2	135.0	2.2	3.6	93.0	994.1
20210124 19:15	-0.1		-1.1	135.0	2.2	4.5	93.0	994.1
20210124 19:20	-0.2		-1.2	135.0	2.7	4.5	93.0	994.0
20210124 19:30	-0.2		-1.2	135.0	2.2	4.0	93.0	993.9
20210124 19:35	-0.2		-1.2	135.0	2.7	4.5	93.0	993.9
20210124 19:40	-0.3		-1.3	135.0	2.7	4.5	93.0	993.8
20210124 19:45	-0.3		-1.3	135.0	2.7	4.0	93.0	993.7
20210124 19:50	-0.4		-1.4	135.0	2.2	4.0	93.0	993.7
20210124 19:55	-0.4		-1.4	135.0	1.8	2.7	93.0	993.7
20210124 20:00	-0.5		-1.5	135.0	1.8	2.7	93.0	993.7
20210124 20:05	-0.6		-1.5	135.0	1.3	2.2	93.0	993.7
20210124 20:10	-0.6		-1.5	135.0	1.3	2.2	94.0	993.6
20210124 20:15	-0.7		-1.5	135.0	1.8	2.2	94.0	993.6
20210124 20:20	-0.7		-1.6	135.0	1.8	2.7	94.0	993.5
20210124 20:25	-0.8		-1.6	135.0	1.8	3.1	94.0	993.5
20210124 20:30	-0.9		-1.7	135.0	1.3	2.2	94.0	993.4
20210124 20:35	-0.9		-1.8	112.0	1.3	1.8	94.0	993.4
20210124 20:45	-1.1		-1.9	135.0	2.2	3.1	94.0	993.5
20210124 20:50	-1.1		-2.0	135.0	1.8	2.7	94.0	993.4
20210124 20:55	-1.1		-1.8	135.0	2.2	3.6	95.0	993.4
20210124 21:00	-1.2		-1.9	135.0	1.8	2.7	95.0	993.3
20210124 21:05	-1.2		-1.9	135.0	1.8	2.7	95.0	993.3
20210124 21:10	-1.1		-1.8	135.0	1.3	2.7	95.0	993.2
20210124 21:15	-1.1		-1.8	112.0	1.8	3.1	95.0	993.1
20210124 21:20	-1.1		-1.8	112.0	1.8	3.1	95.0	993.1
20210124 21:25	-1.0		-1.7	135.0	2.2	4.0	95.0	993.1
20210124 21:30	-1.0		-1.7	135.0	2.2	4.0	95.0	993.1
20210124 21:35	-1.0		-1.7	135.0	2.2	4.9	95.0	993.0
20210124 21:45	-0.9		-1.6	135.0	2.7	4.0	95.0	993.0
20210124 21:50	-1.0		-1.7	135.0	1.8	3.1	95.0	992.9
20210124 21:55	-1.0		-1.7	112.0	2.2	3.1	95.0	992.9
20210124 22:00	-1.0		-1.7	112.0	1.8	3.1	95.0	992.9
20210124 22:05	-1.0		-1.7	112.0	2.2	3.6	95.0	992.9
20210124 22:10	-1.0		-1.7	112.0	1.8	3.6	95.0	992.8
20210124 22:15	-1.0		-1.7	112.0	1.8	3.1	95.0	992.8
20210124 22:20	-1.0		-1.7	112.0	2.2	3.1	95.0	992.8
20210124 22:25	-1.0		-1.7	112.0	1.8	2.2	95.0	992.7
20210124 22:30	-1.1		-1.8	90.0	1.8	2.7	95.0	992.6
20210124 22:35	-1.0		-1.6	90.0	1.8	2.7	96.0	992.6
20210124 22:45	-1.1		-1.8	90.0	1.8	2.7	95.0	992.4
20210124 22:50	-1.1		-1.8	90.0	2.2	3.1	95.0	992.4
20210124 22:55	-1.1		-1.8	90.0	2.2	2.7	95.0	992.3
20210124 23:00	-1.1		-1.8	90.0	1.8	2.7	95.0	992.3
20210124 23:05	-1.1		-1.8	90.0	2.2	3.1	95.0	992.2
20210124 23:10	-1.1		-1.8	90.0	2.2	3.1	95.0	992.2
20210124 23:15	-1.1		-1.7	90.0	2.2	3.1	96.0	992.2
20210124 23:20	-1.1		-1.7	90.0	2.2	3.1	96.0	992.1
20210124 23:25	-1.1		-1.7	90.0	2.2	3.1	96.0	992.1
20210124 23:30	-1.1		-1.7	90.0	2.2	3.1	96.0	992.0
20210124 23:35	-1.1		-1.7	90.0	2.7	4.0	96.0	991.9
20210124 23:40	-1.1		-1.7	90.0	2.7	3.6	96.0	991.9
20210124 23:45	-1.1		-1.7	90.0	3.1	4.5	96.0	991.8
20210124 23:50	-1.1		-1.7	90.0	2.7	4.0	96.0	991.7
